basename,songLengthMs,bSP,BSP,DSP,ESP,CSP,bDP,BDP,DDP,EDP,CDP
bins,100352,13 13 1 0 0,20 23 1 31 0,37 36 25 45 7,48 45 45 62 17,,,20 23 3 37 0,39 32 12 29 8,51 45 30 38 19,
biol,98635,18 18 0 21 0,32 30 3 9 0,42 36 0 28 4,56 48 29 18 27,,,31 30 7 21 0,42 36 3 38 4,58 48 30 25 28,
biza,98340,19 19 0 0 0,26 29 5 23 0,40 39 18 31 10,53 49 30 71 21,31 34 1 11 2,,24 24 12 42 0,42 39 23 79 10,52 49 27 61 19,
blac,92901,9 20 16 0 0,18 20 20 20 0,34 46 36 29 4,43 46 36 29 13,,,,,,
blak,126000,18 16 7 32 0,44 41 0 24 0,60 66 16 40 16,85 75 25 30 45,,,43 33 1 25 0,60 58 27 28 17,83 83 23 20 40,
blan,114000,19 26 12 34 0,34 40 27 44 1,50 53 16 62 23,89 103 38 44 100,,,32 46 43 45 1,53 53 25 55 25,78 86 34 40 72,
blar,112455,19 20 5 7 0,42 40 14 20 10,71 66 16 27 101,97 93 21 30 129,143 133 29 32 164,,42 46 14 22 10,71 66 16 26 101,97 103 16 23 137,154 126 20 28 175
blas,68566,17 24 16 0 0,20 30 16 22 0,41 49 34 37 5,61 55 20 34 48,,,26 30 14 15 0,36 42 25 13 1,52 49 47 30 14,
blast,81821,,32 27 3 0 0,43 44 34 0 5,59 55 38 0 25,,,32 27 3 0 0,43 44 29 0 5,,
blavi,91200,,44 33 10 0 0,61 58 36 0 9,89 66 12 0 39,,,41 33 1 0 0,61 50 0 0 11,92 66 1 0 38,
blco,112000,15 35 38 11 0,37 35 50 34 0,73 78 87 29 36,109 102 70 29 102,,,36 35 58 29 0,72 78 85 29 35,104 102 47 29 103,
blem,120467,22 30 12 11 0,43 53 20 38 9,84 76 36 23 80,121 110 36 35 109,146 110 47 39 115,,43 53 16 41 10,85 76 20 24 79,115 110 30 32 110,158 110 25 37 118
blike,90500,,28 32 20 0 0,37 37 23 0 3,44 37 23 0 10,,,28 32 18 0 0,38 37 21 0 2,,
blin,104943,19 20 1 0 0,33 33 5 21 0,48 47 32 27 7,71 81 47 61 33,,,32 27 9 35 0,47 40 25 28 7,65 60 30 49 21,
blja,115200,18 25 3 11 0,43 43 9 31 3,65 56 38 13 28,87 100 45 35 101,,,42 37 10 31 3,65 56 38 13 28,86 100 43 32 101,
bloc,96525,15 18 7 0 0,22 22 5 50 0,46 36 10 0 14,64 59 25 4 75,,,26 22 3 4 0,46 36 10 0 14,63 59 14 4 72,
bloo,85768,23 28 0 0 0,32 35 16 0 0,44 42 7 9 8,61 70 45 0 31,,,34 35 3 0 0,41 42 36 28 1,63 56 0 0 27,
blow,117000,23 25 1 0 0,38 37 9 34 1,57 62 21 55 22,97 115 21 34 106,,,38 31 3 23 1,56 62 14 42 21,90 109 18 37 105,
blra,100000,16 12 0 0 0,31 30 5 39 0,38 42 16 63 6,59 66 12 52 31,96 84 20 13 105,,27 30 5 34 0,42 48 10 60 7,61 48 14 38 27,95 84 7 15 105
blst,111000,22 26 1 23 0,52 46 12 35 9,71 73 38 40 39,110 103 9 43 105,,,50 46 12 27 10,70 66 38 40 37,113 100 9 45 107,
bmon,96988,6 5 0 0 0,15 21 0 27 0,26 38 9 72 4,50 76 25 58 31,,,,,,
bmone,89186,,31 39 18 0 8,43 39 0 0 18,46 64 47 0 24,,,30 39 21 0 10,41 44 25 0 18,,
boku,105882,20 21 1 0 0,32 35 10 23 0,47 56 21 19 7,67 56 18 18 27,,,30 28 9 31 0,50 56 21 28 9,70 56 32 19 29,
bom2,89600,18 25 21 0 0,31 31 21 33 0,43 43 21 67 5,60 56 27 31 24,,,28 31 10 28 0,37 31 18 17 0,54 50 12 63 12,
bona,111439,14 15 3 0 0,20 26 3 9 0,29 26 5 9 2,46 46 3 9 21,,,25 26 3 9 0,35 31 5 9 4,50 46 5 9 23,
bone,117333,9 11 1 17 0,31 28 10 17 0,55 50 10 19 22,68 78 85 17 65,,,29 28 10 20 0,53 45 16 21 20,67 73 81 20 63,
boog,98821,13 21 7 0 0,22 27 10 31 0,38 43 21 55 5,49 43 21 39 15,,,,,,
boom,69264,22 22 0 0 0,29 22 0 0 0,45 45 5 0 7,60 50 14 0 21,75 67 104 21 60,,34 28 5 0 0,44 45 32 0 7,61 45 10 0 26,75 67 101 21 95
boss,123789,23 34 5 0 0,56 62 10 15 19,88 112 50 34 100,130 119 56 10 111,,,55 62 9 15 17,86 105 36 27 96,121 119 52 8 110,
botr,106378,29 30 7 3 0,50 61 43 15 1,70 61 52 17 20,111 84 18 19 92,,,47 61 30 14 0,68 61 30 22 19,92 84 18 44 69,
boyd,99202,12 11 0 0 0,29 22 0 17 0,44 45 14 16 8,61 62 40 59 22,,,27 28 1 13 0,42 34 5 15 7,61 45 16 36 24,
boys,78248,16 17 16 0 0,35 28 20 0 0,40 34 29 0 3,53 51 52 0 16,81 69 20 0 81,,37 34 23 0 0,41 34 41 0 0,48 46 27 0 12,68 51 3 0 52
boys2,100874,13 17 0 0 0,31 28 16 11 0,37 34 23 40 2,47 51 47 49 13,35 28 30 11 0,,33 34 18 3 0,38 34 30 3 0,44 46 21 18 10,36 28 20 3 0
brak,103705,23 20 0 12 0,48 47 36 27 2,75 60 27 24 41,118 104 63 26 106,,,46 47 36 19 2,69 60 21 24 33,120 87 41 33 106,
braz,88620,18 16 0 0 0,34 37 25 29 0,48 43 23 54 14,60 54 29 28 72,,19 21 0 0 0,35 32 14 25 0,45 43 23 28 11,63 54 21 14 42,
brea,87273,13 18 3 10 0,21 18 7 19 0,34 36 23 25 6,50 50 34 37 48,,,,,,
bred,96000,16 18 3 3 0,29 25 5 34 0,43 43 20 102 15,71 75 41 70 64,,,35 31 5 22 0,48 43 9 115 24,79 68 9 38 58,
bref,118154,20 21 0 8 0,30 43 14 26 0,44 43 29 47 10,56 65 30 48 26,,,27 38 12 0 0,42 38 5 35 10,54 54 21 35 23,
brfu,120333,25 36 10 36 0,53 73 14 31 37,89 123 23 31 120,153 123 60 20 160,199 147 83 28 221,,53 73 10 30 33,87 123 16 28 121,158 123 45 19 170,212 142 56 22 229
brid,120000,18 17 7 12 0,34 34 18 25 0,55 46 36 30 37,80 63 21 34 102,,,34 34 18 25 0,55 46 34 30 37,80 63 16 34 103,
brig,97221,13 13 1 0 0,21 19 1 25 0,37 39 14 46 3,52 52 30 44 11,,,22 19 0 26 0,36 39 16 46 2,52 52 25 51 12,
bril,75200,25 25 9 0 0,43 43 12 0 3,46 50 63 0 3,59 62 56 0 23,70 56 45 0 40,,43 43 12 0 3,47 50 102 0 2,60 50 56 0 15,60 43 27 35 24
bril2,75167,26 25 3 0 0,44 43 21 0 4,49 50 49 0 14,60 50 27 0 25,82 62 43 0 42,,45 43 21 0 4,49 50 50 0 14,62 50 18 0 22,86 62 30 0 46
bril3,83647,16 21 3 0 0,,,,63 63 45 13 42,,,,,62 56 18 13 38
bril4,81600,24 25 3 0 0,36 37 18 0 0,49 50 36 0 7,61 56 72 0 21,,,,,,
bris,75200,43 43 12 0 3,,,,90 68 20 11 100,,,,,86 62 25 0 90
brkn,102162,9 12 3 22 0,21 24 9 37 0,44 43 23 45 14,74 74 21 82 74,,,22 24 14 30 0,46 43 21 40 14,75 74 16 75 79,
brli,110625,12 16 0 0 0,31 42 20 90 0,53 58 30 115 22,124 103 3 72 115,,,31 42 18 93 0,56 48 18 109 24,95 103 1 55 109,
brok,100395,24 20 1 0 0,42 40 25 0 0,53 46 30 0 5,71 60 69 0 39,,,43 40 14 0 0,54 53 67 0 8,70 53 47 0 28,
brou,92282,22 26 5 0 0,27 26 16 11 0,40 37 25 20 10,44 37 18 58 17,,22 26 5 0 0,25 26 12 10 0,40 42 21 18 6,48 47 25 23 16,
brui,91878,17 21 3 17 0,32 26 1 0 0,40 37 18 20 6,53 42 9 20 20,,,30 26 1 5 0,41 37 20 32 8,53 42 21 26 20,
bt4u,99333,15 18 7 0 0,24 28 18 65 0,33 37 23 100 2,49 51 20 83 23,,,24 28 21 70 0,33 37 21 100 2,49 51 14 83 23,
btea,90667,21 22 5 0 0,21 22 5 6 0,40 45 23 29 7,61 60 14 3 17,,,24 30 9 0 0,46 52 7 15 6,66 60 14 7 19,
btea2,95880,23 20 0 0 0,37 27 9 25 0,43 41 25 31 0,62 55 9 20 17,,,33 27 5 21 0,43 34 14 18 0,55 55 20 13 11,
btota,81509,,41 38 23 0 1,53 44 16 0 16,69 77 58 0 48,,,30 49 32 0 1,43 44 38 0 11,56 55 40 0 35,
bttw,95020,15 11 0 15 0,20 19 12 51 0,38 35 23 60 11,58 55 27 69 73,,,22 19 5 43 0,38 31 40 53 13,62 51 32 37 77,
bud4,90791,,35 46 30 0 0,41 35 12 0 3,60 46 16 0 25,,,37 29 3 0 0,41 40 5 0 5,63 46 3 0 26,
buhla,86293,,31 43 32 0 0,43 43 34 0 5,66 86 74 0 34,,,37 32 18 0 0,42 43 36 0 5,,
bumb,88693,,29 28 3 0 0,42 46 34 0 6,57 51 10 0 43,,,30 28 3 0 0,39 40 56 0 5,55 46 32 0 20,
bura,118400,13 18 5 0 0,27 31 29 25 0,50 50 80 19 7,80 68 63 19 59,95 100 94 19 102,,28 37 32 25 0,49 50 70 17 6,79 68 49 18 54,93 93 78 20 102
burn,88226,25 25 12 0 0,40 32 7 0 0,55 51 9 0 11,70 51 18 0 31,,,42 32 3 0 0,53 51 18 0 9,67 58 45 0 31,
burn3,90940,24 25 9 0 0,,,,60 58 38 21 18,,,,,57 51 40 16 14
burs,90812,17 18 7 15 0,32 30 5 25 0,49 49 20 27 11,61 55 20 27 27,,,32 30 5 25 0,49 43 16 38 11,61 55 16 27 28,
bust,103843,9 14 7 0 0,20 24 5 0 0,41 39 10 11 8,62 49 20 28 43,,,,,,
busy,103439,17 12 0 0 0,27 20 9 59 0,36 29 0 95 7,62 41 0 0 86,,,27 20 9 59 0,36 29 0 95 7,62 41 0 0 86,
buta,137379,9 12 0 14 0,16 18 0 18 0,46 42 0 20 12,64 66 25 10 37,,,17 18 1 12 0,45 42 0 7 11,57 60 23 19 23,
butt,87161,20 16 0 0 0,36 28 21 0 0,36 33 50 0 0,48 39 30 0 9,74 50 30 11 59,,37 28 21 0 0,43 33 30 0 4,51 45 25 0 17,74 50 30 11 60
butt2,96055,15 22 0 15 0,32 28 14 14 0,43 39 30 27 7,65 50 25 44 43,36 28 18 14 0,,34 28 14 0 0,40 33 25 0 4,67 50 27 42 45,37 28 20 0 0
butt3,121714,24 23 3 0 0,40 35 25 8 0,56 46 40 20 13,73 64 38 17 39,104 81 30 19 105,,41 29 23 4 0,51 46 47 15 10,76 52 38 30 42,108 81 29 21 106
bye5,98249,,24 17 0 0 0,25 35 29 0 0,39 70 25 0 14,,,20 17 3 0 0,26 35 36 0 0,40 70 18 0 13,
byeb,86066,11 12 0 76 0,13 12 0 68 0,50 48 29 27 13,74 60 0 30 78,,,13 18 0 38 0,42 30 0 26 2,71 54 29 5 56,
bylov,92273,,33 32 12 0 0,47 43 20 0 15,61 54 5 0 55,,,35 32 7 0 0,46 38 1 0 10,55 48 12 0 25,
byos,107077,18 21 1 36 0,29 27 3 35 0,50 48 20 52 18,62 59 30 66 51,,,29 27 3 35 0,50 48 21 55 18,60 59 27 86 46,
byou,102857,13 23 7 0 0,21 40 12 40 0,42 52 20 87 12,65 64 34 55 35,,,,,,
cach,88125,12 16 0 50 0,19 21 1 41 0,38 37 38 15 6,56 53 40 47 85,,12 16 0 36 0,24 26 7 39 0,43 48 16 60 14,55 58 18 21 77,
cafe,91311,,28 26 7 0 0,41 43 16 0 9,53 43 23 0 21,,,26 26 1 0 0,45 43 16 0 10,52 48 12 0 20,
cahe,99424,13 17 9 0 0,22 29 10 125 0,37 35 16 125 2,56 52 61 84 15,,,,,,
call,103448,18 39 9 0 0,29 29 16 36 0,36 39 43 115 8,60 59 41 60 35,,,,,,
canb,92730,22 22 7 0 0,27 22 0 19 0,43 38 14 11 7,55 44 7 48 21,,,22 27 10 11 0,39 38 14 23 2,49 49 34 22 13,
cand,88750,20 24 10 0 0,38 32 14 0 0,53 48 18 26 3,73 64 36 37 22,,,44 40 0 0 0,46 56 14 43 5,73 64 70 8 19,
cans,85454,,38 38 16 0 0,43 44 25 0 8,58 49 18 0 23,,,38 38 25 0 2,50 38 1 0 13,61 49 34 0 26,
cant,92885,,17 15 9 0 0,26 26 5 0 0,44 42 16 0 11,,,22 26 7 0 0,31 31 9 0 2,42 42 18 0 6,
canu,86000,17 20 3 0 0,23 25 3 59 0,40 40 7 56 9,59 60 0 11 43,,,26 35 7 34 0,38 40 10 46 8,54 45 1 16 35,
canx,88750,20 24 10 0 0,,,,75 72 78 50 26,,,,,76 72 81 47 26
caof,121263,31 31 9 37 0,58 55 29 31 10,83 71 58 25 38,122 113 76 50 106,,,57 47 20 22 9,81 71 38 23 36,118 113 80 49 105,
caom,86468,14 34 14 74 0,16 45 47 77 0,46 45 49 76 9,71 68 16 17 95,,,,,,
capt,88409,24 28 7 0 0,49 49 43 0 0,67 70 34 0 35,81 70 38 0 93,,,40 49 49 0 0,54 56 49 0 13,81 78 29 0 63,
capt2,104475,22 28 7 0 0,45 49 38 32 0,63 70 32 27 25,77 70 32 27 66,71 70 58 27 36,,38 49 43 28 0,51 56 43 36 11,76 77 25 28 54,59 56 63 34 14
cara,87658,16 16 5 0 0,27 26 10 29 0,36 37 14 30 7,47 48 14 30 20,,,25 26 9 33 0,36 37 23 30 5,47 42 9 30 22,
cari,94259,16 14 0 0 0,19 23 0 0 0,32 33 0 0 9,49 38 0 0 21,,,20 19 0 0 0,33 28 1 0 4,44 33 0 0 12,
carm,86778,16 22 7 0 0,26 29 10 13 0,66 51 14 2 18,88 81 23 0 59,,,,,,
cart,88582,29 35 27 0 0,45 35 25 6 0,60 56 87 18 14,92 78 61 21 88,,,49 42 30 6 0,58 56 94 6 10,83 78 36 6 75,
cart2,103058,26 28 7 7 0,55 49 30 16 9,80 78 52 28 61,110 99 74 19 104,198 106 131 23 117,,54 56 40 13 6,76 78 47 13 56,104 99 41 10 104,259 106 131 22 125
catc,85522,26 28 3 9 0,41 57 29 24 0,49 57 58 43 7,72 72 38 23 39,,21 21 12 0 0,37 28 14 74 3,55 43 0 4 14,63 43 3 3 20,
cats,89164,,28 26 12 0 0,52 53 27 0 16,75 59 14 0 67,,,42 33 5 0 0,53 53 29 0 20,67 53 3 0 76,
caug,93455,6 9 5 0 0,14 18 0 19 0,33 32 0 11 11,39 45 58 26 17,,,,,,
cbme,117209,20 28 10 17 0,39 43 9 17 1,58 57 16 31 19,82 100 21 19 77,94 107 50 32 102,,38 43 5 17 1,57 57 25 31 17,81 93 18 5 65,83 107 18 19 67
cbmf,106181,14 13 1 14 0,39 41 18 32 0,52 55 14 27 18,73 82 27 42 61,,,40 48 14 27 1,51 55 9 27 17,69 82 16 45 48,
cbri,81600,,37 50 27 0 2,44 50 49 0 6,53 50 60 0 23,,,37 50 27 0 2,52 50 65 0 10,,
cbtm,89583,16 23 0 0 0,28 29 3 35 0,43 47 23 45 7,56 65 23 66 36,42 41 47 51 0,,24 29 9 30 0,40 47 18 66 6,60 71 5 37 46,42 41 47 54 0
ccch,94674,19 21 1 2 0,27 27 1 19 0,40 37 18 19 3,51 53 5 30 16,,,35 27 1 16 0,39 37 18 16 3,50 43 7 2 15,
ccnn,119294,9 13 1 22 0,29 41 58 58 0,53 55 87 27 16,77 105 106 27 62,124 109 108 35 107,,30 41 61 56 0,53 55 85 27 16,76 105 94 28 53,129 105 89 23 108
cctr,104346,8 9 0 5 0,19 19 1 17 0,31 28 7 34 4,40 43 20 32 16,,,19 19 3 4 0,30 28 10 41 3,41 52 21 27 17,
cele,89101,16 22 10 0 0,37 44 18 0 0,42 39 5 0 4,58 44 1 0 29,,,41 33 3 0 3,58 44 3 0 27,50 50 30 37 22,
cent,91645,18 21 23 0 0,21 26 16 24 0,42 37 1 101 5,55 69 21 8 28,,,17 16 0 27 0,42 32 0 77 11,65 48 0 23 63,
ceye,91250,14 18 5 0 0,23 24 1 19 0,36 30 1 37 5,51 48 1 24 20,,,,,,
cgpr,88800,22 33 7 0 0,39 41 14 13 0,55 58 32 38 5,80 75 58 30 30,,,38 33 7 11 0,54 58 32 34 0,72 66 32 27 19,
chai,100881,19 21 3 33 0,22 21 0 34 0,32 37 12 77 4,41 42 25 70 14,,,24 21 0 46 0,31 32 14 63 3,39 42 23 50 11,
chan,99200,19 18 1 0 0,33 31 18 19 0,40 43 38 70 3,56 56 50 48 21,,,32 25 1 16 0,40 43 27 49 3,58 50 32 74 22,
chao,87728,12 15 0 0 25,41 40 5 15 116,55 46 7 7 136,73 66 21 11 167,92 92 30 14 204,,39 40 3 5 118,55 46 7 7 144,72 66 21 11 181,82 81 27 15 204
chao2,121818,20 36 23 47 4,39 48 29 27 22,65 85 29 23 100,89 116 56 14 117,115 117 63 18 176,,38 42 21 28 23,61 72 20 28 79,85 72 38 12 115,117 105 65 18 189
chap,114599,12 19 7 3 0,34 51 25 54 5,57 96 32 63 100,95 114 16 57 128,,,36 58 18 48 7,60 96 20 59 102,92 111 12 64 132,
chbu,118589,7 7 0 0 0,33 35 21 35 1,63 63 32 42 25,108 99 27 49 106,,,32 35 29 29 0,61 56 40 28 24,117 99 27 41 108,
chea,112004,34 38 7 14 0,47 61 29 15 0,73 84 32 13 30,108 107 52 15 103,,,45 38 16 14 0,70 61 20 12 26,107 107 45 15 103,
chee,119593,11 12 0 61 0,31 30 0 88 0,54 43 7 98 16,71 49 20 115 31,80 74 40 125 53,,31 24 1 105 0,49 43 5 104 14,68 49 23 124 28,79 74 38 131 52
chew,98667,19 22 1 0 0,31 45 10 30 0,48 52 27 36 8,63 60 41 24 22,86 75 105 32 48,,27 37 18 22 0,49 52 27 32 8,61 60 47 24 20,86 75 103 27 57
chih,97667,16 15 10 0 0,22 22 20 13 0,33 30 34 83 7,47 41 41 35 39,,,,,,
chil,123000,13 13 0 0 0,33 40 54 28 0,51 53 32 60 9,60 60 81 44 14,72 60 72 24 25,,33 40 56 28 0,50 53 30 60 8,57 60 74 47 12,72 60 65 22 26
chin,102862,26 29 3 36 0,43 51 16 80 3,70 65 7 62 50,128 108 5 58 106,,,39 36 18 50 0,67 58 7 69 28,136 108 7 51 107,
choc,124898,16 24 1 0 0,29 40 10 19 0,47 57 25 49 6,63 73 76 26 17,,,27 40 7 3 0,42 57 21 38 2,60 73 12 44 14,
chon,105238,11 12 3 4 0,43 48 18 25 8,74 85 23 18 81,97 101 23 45 108,,,44 48 18 20 8,74 85 25 13 78,92 101 16 21 106,
choo,102934,18 20 1 0 0,25 25 5 55 0,38 41 20 33 5,48 41 29 38 24,,,25 25 7 55 0,38 41 20 36 5,50 46 40 30 25,
chop,108000,13 27 12 32 1,21 27 10 38 4,34 32 36 54 12,52 41 12 28 24,74 64 45 19 80,,21 27 9 52 4,34 32 30 54 12,52 41 0 25 24,74 64 23 11 79
chot,94024,,38 27 0 0 0,52 54 7 0 7,68 54 0 0 25,,,52 54 5 0 7,68 54 0 0 25,,
chpl,119351,22 23 1 23 0,58 46 3 3 4,78 69 50 3 27,129 104 23 1 102,112 111 45 122 102,,57 46 3 3 3,76 61 45 3 24,130 104 21 4 101,99 111 45 121 100
chro,112499,11 10 0 44 0,20 32 21 78 4,40 48 7 78 21,64 64 65 35 63,94 85 80 31 106,,21 26 7 76 3,42 48 5 87 22,65 64 34 33 61,96 85 49 39 109
chro2,126487,19 22 3 38 0,39 44 16 57 2,61 67 32 12 32,87 89 49 13 103,,,39 39 5 51 2,60 56 25 15 28,86 78 47 11 103,
chum,112613,15 16 3 3 0,33 32 34 8 0,58 43 25 4 42,86 86 27 4 104,,,33 32 20 8 0,57 43 25 4 40,86 86 27 4 105,
cive,93000,20 20 0 0 0,31 33 7 49 0,44 53 32 46 4,64 80 52 33 20,,,35 40 12 44 0,47 53 41 59 4,66 73 32 38 26,
ckee,67267,,32 33 27 0 0,41 44 25 0 7,54 44 18 0 19,,,33 38 14 0 0,48 44 20 0 14,,
ckpp,118249,22 25 3 0 0,36 42 1 22 1,50 68 20 23 5,63 68 45 18 16,86 94 74 10 43,,36 42 1 22 1,50 68 20 23 5,64 68 47 15 17,86 94 74 11 43
ckpp2,115902,15 25 3 49 0,37 42 5 36 0,57 68 32 33 8,74 68 56 34 22,123 105 34 22 101,,38 42 3 27 2,57 68 29 33 7,72 68 58 36 20,123 101 25 22 100
clar,108750,12 10 3 0 0,25 32 1 41 0,33 37 21 92 4,39 42 20 86 11,,,25 32 1 41 0,33 37 21 91 4,39 42 16 86 11,
clea,94667,26 30 0 0 0,55 60 60 0 4,58 60 69 0 7,74 60 30 0 21,109 90 58 16 88,,55 60 74 0 4,61 60 38 0 11,74 60 30 0 21,89 90 74 20 59
cleo,116210,30 31 3 9 0,42 63 12 18 0,59 63 25 20 19,95 101 20 19 90,,,42 55 10 15 0,57 63 20 14 17,93 87 10 11 83,
clij,98115,16 21 7 0 0,25 28 20 35 0,42 42 27 53 2,62 56 32 46 22,,,,,,
clim,81667,27 37 5 0 0,47 45 10 0 4,67 60 32 0 17,83 75 56 0 37,,,51 60 38 0 4,66 60 43 0 16,82 60 40 0 32,
clix,82667,27 37 5 0 0,,,,87 90 105 35 52,,,,,82 75 54 24 38
cloc,95998,12 12 0 7 0,17 18 0 49 0,32 30 18 27 1,50 48 10 11 17,,,,,,
clos,97655,15 18 1 19 0,40 42 18 49 3,63 48 9 55 25,89 72 10 52 96,,,40 42 16 49 3,63 48 9 55 25,85 72 12 55 77,
clsr,94519,15 21 1 0 0,24 26 10 10 0,32 31 12 12 10,39 42 25 14 15,22 26 10 10 0,,25 26 1 27 0,33 31 14 29 10,41 47 36 35 18,23 26 1 27 0
club,89947,,25 21 0 0 0,41 43 30 0 3,55 54 40 0 18,,,,,,
cmon,89857,16 18 0 0 3,23 18 0 33 0,31 26 14 47 0,39 35 25 31 8,,,22 22 18 24 0,34 31 10 35 6,40 35 18 59 12,
cnfc,136901,9 11 5 0 0,26 29 10 38 0,48 47 18 31 14,85 77 45 25 94,,,23 23 18 25 0,48 47 21 30 14,83 77 38 22 87,
cnsl,101124,23 22 1 30 0,47 37 1 19 2,75 59 20 28 39,115 101 18 39 103,,,44 37 1 15 2,73 59 20 30 37,116 101 14 38 103,
cobl,124661,20 22 0 70 0,39 45 3 77 1,83 60 69 62 77,135 110 116 54 107,,,38 37 3 85 0,84 60 65 62 102,170 110 127 59 113,
coco,104842,19 23 3 13 0,48 39 3 6 0,74 63 9 20 28,109 101 29 19 90,,,48 39 3 6 0,74 63 5 20 28,99 101 27 20 67,
cody,132000,22 28 5 21 0,37 43 12 42 0,64 64 16 37 25,96 100 29 38 104,,,36 43 10 42 0,63 64 9 31 25,89 100 16 41 103,
cogv,122400,14 16 3 44 0,45 66 36 60 2,65 66 30 74 19,111 116 23 64 102,,,46 66 25 55 1,61 66 27 78 16,108 116 12 67 101,
coli,122667,23 27 0 32 0,42 48 5 28 5,67 62 23 53 33,99 105 30 46 104,135 105 50 48 113,,42 48 9 28 4,66 55 20 44 31,99 105 20 30 104,129 105 52 43 112
colo,105607,22 31 25 0 0,34 37 25 37 0,50 56 21 32 8,58 50 23 32 19,81 81 12 16 85,,32 37 21 21 0,50 43 16 22 7,60 56 10 33 20,75 68 23 11 57
comc,94087,16 27 9 15 0,24 27 14 58 0,35 40 43 57 5,52 54 52 43 42,,,20 22 18 20 0,34 36 27 48 3,45 49 50 63 17,
come2,102247,17 20 3 0 0,23 31 5 14 0,40 36 10 57 4,55 46 30 42 18,,,,,,
comi,93158,12 12 0 4 0,20 25 1 13 0,39 38 9 32 5,62 76 52 40 32,,,19 25 1 13 0,36 38 0 38 3,60 76 40 39 30,
conc,98958,14 24 5 17 0,24 36 32 14 0,65 79 29 26 64,108 98 47 24 110,,,24 36 36 14 0,65 73 23 26 62,99 98 50 25 111,
cone,90522,12 14 1 19 0,22 21 1 34 0,38 51 14 68 4,65 65 43 48 24,52 58 52 38 3,,19 21 1 21 0,36 58 25 63 3,64 65 38 37 24,51 58 60 37 5
conf,105600,12 12 1 11 0,20 25 10 40 0,38 37 27 56 4,58 62 47 74 33,89 93 52 40 102,,23 31 12 50 0,37 43 30 60 4,59 68 45 73 33,89 93 50 40 103
cong,90459,19 21 1 0 0,32 32 5 0 0,45 54 25 0 19,68 59 20 0 83,,,33 32 5 0 0,49 43 0 0 13,73 43 0 0 38,
conm,97248,16 14 0 3 0,28 28 1 6 0,38 42 34 34 2,70 56 76 52 26,,,,,,
conn,113600,19 25 5 4 0,38 31 9 17 0,63 50 25 16 28,93 75 49 9 103,,,35 31 5 15 0,62 50 12 18 26,92 68 34 9 103,
cosc,118400,17 25 5 3 0,26 25 20 35 0,52 50 50 30 22,96 100 85 35 104,129 103 87 94 113,,26 25 20 18 0,53 50 41 33 21,95 100 56 33 104,134 103 61 106 115
cosh,122557,16 23 1 18 0,35 38 3 32 0,52 54 29 45 8,78 70 14 35 41,97 104 36 82 101,,34 38 3 32 0,51 54 27 47 6,76 70 7 40 40,96 104 32 78 101
cosy,109333,34 42 0 4 0,54 74 16 19 2,77 103 27 37 28,100 145 69 28 96,147 188 67 37 113,,54 74 12 19 2,74 103 27 36 26,98 140 49 29 87,142 188 49 30 111
cott,95928,18 22 20 0 0,23 27 18 0 0,42 38 45 0 7,60 49 29 0 44,,,21 27 12 0 0,34 38 20 0 5,52 44 16 0 18,
cove,115200,16 25 3 27 0,51 58 27 54 6,93 83 29 56 63,156 116 50 54 110,,,50 50 21 53 6,86 83 29 63 46,170 116 41 50 111,
cowg,85645,19 17 0 0 0,27 28 0 14 0,45 40 9 69 3,65 51 25 44 34,,,25 23 0 30 0,40 40 16 39 0,68 51 20 69 31,
cpar,92789,,59 55 38 0 7,62 71 60 0 10,68 71 69 0 17,,,61 63 76 0 8,61 63 96 0 9,,
cras,100200,21 33 1 0 0,42 41 12 0 0,48 66 14 0 0,84 66 12 0 28,,,42 41 10 0 0,48 58 12 0 0,72 58 7 0 17,
craz,99131,14 12 9 0 0,21 16 9 0 0,35 24 14 33 7,48 37 21 52 32,,,21 16 16 0 0,34 24 16 0 6,48 41 12 6 33,
crco,96007,11 17 1 0 0,18 26 10 0 0,31 43 16 0 5,50 61 30 0 55,57 65 36 0 80,,24 26 16 0 0,38 39 25 0 15,50 52 27 0 43,56 61 29 0 68
crcs,106403,6 5 0 0 0,16 16 5 32 0,33 32 7 42 5,43 37 20 57 12,,,,,,
crea,125807,16 21 1 9 0,43 50 20 22 0,68 64 34 11 29,106 107 47 19 106,,,44 43 18 10 0,66 57 29 13 26,102 107 18 36 106,
crgo,90454,14 16 1 0 0,23 27 1 8 0,34 33 1 22 3,48 38 3 31 14,,,,,,
crho,112593,19 20 3 24 0,40 40 21 24 0,59 54 23 31 15,79 74 50 34 62,,,40 40 18 29 0,59 54 23 31 15,78 67 40 34 54,
crim,98998,21 26 9 0 0,29 26 21 9 0,49 53 29 18 7,75 60 29 28 35,,,,,,
cros,107200,11 12 1 55 0,29 31 9 58 0,59 50 29 29 20,83 81 30 47 76,,,33 31 3 42 0,56 50 43 46 18,80 87 27 50 70,
crsh,122813,16 21 5 21 0,32 37 14 44 0,51 48 16 92 14,67 64 32 36 80,,,31 32 7 43 0,51 48 16 85 14,67 64 23 36 77,
crtc,112299,27 31 10 44 0,56 63 3 60 98,92 79 3 38 143,159 113 10 17 252,,,54 55 7 60 84,90 79 1 39 145,164 113 1 16 260,
crys,107077,10 10 0 13 0,29 27 0 25 0,59 54 7 73 53,81 86 16 79 103,,,27 21 0 13 0,59 54 7 73 53,81 86 12 82 104,
